,listing_names,listing_prices,location,netm2,bedroom_number,building_floor_number,floor,heating_system,age,situation,seller,title_dead_status,credit,rent_income
400,ÖZGÜRLÜK PARKI MARMARAYA YAKIN SIFIR 140M2 3+1 SATILIK DAİRE,6650000,Feneryolu,110.0,31.0,8.0,7,Klima,0,Boş,,,Evet,0.0
401,TRENDHOME ALTUNEL'DEN PRESTİJLİ BİNADA 3 + 1 HAVUZLU-E.BANYOLU,12500000,Feneryolu,110.0,31.0,1020.0,2,Klima,6-10,Kiracılı,,,Evet,0.0
402,FENERYOLU MARMARAYA YAKIN 140M2 3+1 BALKONLU İÇİ YENİLENMİŞ,5195000,Feneryolu,115.0,31.0,7.0,1,Klima,31-35,Mülk,,,Evet,0.0
403,TRENDHOME ALTUNEL'DEN FENERYOLU'NDA FIRSAT 3+1 145M2,5700000,Feneryolu,115.0,31.0,1020.0,11,Merkezi Sistem (Isı Payı Ölçer),26-30,Mülk,,,Hayır,0.0
404,FENERYOLU ÖZGÜRLÜK PARKINA YAKIN 130M2 3+1 İSKANLI BOŞ DAİRE,6500000,Feneryolu,100.0,31.0,1020.0,11,Klima,2,Boş,,,Evet,0.0
405,ZİVERBEY MİNİBÜS CAD.ÜZERİNDE 135M2 3+1 KOMBİLİ İŞYERİ KİRACILI,5700000,Feneryolu,105.0,31.0,5.0,3,Kombi (Doğalgaz),26-30,Kiracılı,,,Evet,0.0
406,FENERYOLU MARMARAYA YAKIN 115 m2 2+1 GENİŞ BALKONLU BAKIMLI,3450000,Feneryolu,95.0,21.0,4.0,1,Merkezi Sistem,26-30,Kiracılı,,,Evet,0.0
407,Feneryolunda süper manzaralı sıfır binada 3+1 fırsatı,9500000,Feneryolu,100.0,31.0,1020.0,12,Klima,0,Boş,,,Evet,0.0
408,"FENERYOLUNDA BALKONLU,EBEYVENLİ NET 140 m2 SÜPER LÜKS 4+1",6950000,Feneryolu,140.0,41.0,1020.0,9,Merkezi Sistem,26-30,,,,Evet,18000.0
409,OPTİAM'DAN FENERYOLU'NDA GENİŞ 150m2 3+1 BALKONLU EBEVEYNLİ DAİR,6950000,Feneryolu,130.0,31.0,,3,Merkezi Sistem,36-40,Boş,,,Hayır,
410,Feneryolu Marmaraya Komşu Bağdat'a 100m. Balkonlu Satılık 2+1,3200000,Feneryolu,80.0,21.0,3.0,3,Merkezi Sistem,36-40,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
411,ARTVİN EMLAK'TAN 2+1 75M2 BALKONLU SIFIR,5000000,Feneryolu,75.0,,,,,,,,,Evet,0.0
412,BAĞDAT CAD'NE PARALEL CUMHUR SOKAK'TA BALKONLU 3+1 SATILIK DAİRE,4650000,Zühtüpaşa,93.0,31.0,6.0,3,Klima,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
413,Kadiköy Zühtüpaşa'da Genç Binada 3 Cepheli 2+1 Daire,4150000,Zühtüpaşa,80.0,21.0,8.0,5,Klima,6-10,Boş,,,Evet,0.0
414,"KIZILTOPRAK, ZÜHTÜPAŞA MAH. SATILIK 2+1 SIFIR DAİRE 5.000.000 TL",5000000,Zühtüpaşa,65.0,21.0,1020.0,3,Kombi (Doğalgaz),0,Boş,Danışman,Kat İrtifakı,Evet,
415,"KIZILTOPRAK, ZÜHTÜPAŞA MH SATILIK 2.5+1 SIFIR DAİRE 5.000.000 TL",5000000,Zühtüpaşa,65.0,21.0,1020.0,3,Kombi (Doğalgaz),0,Boş,,,Evet,0.0
416,CENTURY21'DEN BAĞDAT CAD ÇOK YAKIN YENİ BİNADA 2+1 SATILIK,4550000,Zühtüpaşa,75.0,21.0,8.0,2,Klima,2,Kiracılı,,,Hayır,0.0
417,Kızıltoprak Bağdat Caddesi Yakın Satılık 2+1 Daire,3900000,Zühtüpaşa,73.0,21.0,1020.0,8,Kombi (Doğalgaz),3,Kiracılı,,,Evet,0.0
418,6736 Rengarenk'ten Zühtüpaşa'da 3 Daireli 2 Dükkanlı İmara açıkı,16000000,Zühtüpaşa,3.0,,4.0,,Kombi (Doğalgaz),26-30,,,,Evet,
419,"SATILIK, Bağdat Caddeye Cepheli, 2 Bölüm, muhteşem konumda.",3500000,Zühtüpaşa,,,,,,,,,,Hayır,
420,Zühtüpaşa Mahallesi' nde Bahçe Kullanımlı 2+1 Satılık Daire,3150000,Zühtüpaşa,65.0,,5.0,Bahçe katı,Merkezi Sistem,31-35,Mülk,,,Evet,0.0
421,OZZ TEAM' DEN ZÜHTÜPAŞA' DA DÖNÜŞÜM POTANSİYELLİ SATILIK 2+1,4300000,Zühtüpaşa,75.0,,4.0,1,Kombi (Doğalgaz),31-35,Kiracılı,,,Evet,0.0
422,Kızıltoprak Fenerbahçe Stat Karşısı Marmaray Metrobüs Yakın,4500000,Zühtüpaşa,92.0,31.0,5.0,5,Merkezi Sistem,26-30,Kiracılı,,,Evet,0.0
423,BAĞDAT CADDESİNDE 3 KATLI DÜKKAN & MAĞAZA,13950000,Zühtüpaşa,200.0,,5.0,,Kombi (Doğalgaz),31-35,Kiracılı,,Kat Mülkiyeti,Evet,0.0
424,Ziverbeyde Deprem Raporlu Binada 3+1 Mimari Dekorlu Daire,5950000,Zühtüpaşa,125.0,31.0,1020.0,7,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
425,Kızıltoprakta Bağdat Caddesine  Yakın Yeni Binada 2+1 Daire,3750000,Zühtüpaşa,75.0,21.0,1020.0,8,Kombi (Doğalgaz),3,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
426,Kızıltoprakta Deniz Manzaralı 4+1 Dubleks  Daire EMLAK MASASI,7250000,Zühtüpaşa,155.0,41.0,9.0,9,Merkezi Sistem (Isı Payı Ölçer),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
427,Ziverbeyde Minibüs Caddesine 2.Binada 3+1 Daire EMLAK MASASI,5250000,Zühtüpaşa,120.0,31.0,1020.0,6,Kombi (Doğalgaz),31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
428,Kızıltoprakta Sahile Yakın 2+1 Balkonlu Daire EMLAK MASASI,3895000,Zühtüpaşa,75.0,21.0,3.0,2,Kombi (Doğalgaz),31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
429,Kızıltoprakta Katta Tek 4+1 Kobili Daire,9800000,Zühtüpaşa,128.0,41.0,9.0,8,Kombi (Doğalgaz),6-10,Mülk,,,Evet,0.0
430,FENERYOLU MARMARAY VE MİNİBÜS ARASI EBEVEYNLİ 180M2 3+1,6950000,Zühtüpaşa,130.0,31.0,9.0,3,Merkezi Sistem,26-30,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
431,Kadiköy Zühtüpaşa'da Genç Binada 3 Cepheli 2+1 Daire,4150000,Zühtüpaşa,80.0,21.0,,5,Kombi (Doğalgaz),6-10,Boş,Danışman,Kat Mülkiyeti,Evet,25000.0
432,KALAMIŞ'TA PANORAMİK DENIZ MANZARALI TERASLI DUBLEKS,18750000,Zühtüpaşa,280.0,52.0,1020.0,10,Yerden Isıtma,4,Boş,Danışman,Kat Mülkiyeti,Evet,40000.0
433,"KADIKÖY ZÜHTÜPAŞA' DA 3+1 120 M2, YENİ BOYALI KAÇIRILMAZ DAİRE",2580000,Zühtüpaşa,100.0,31.0,4.0,Bahçe katı,Merkezi Sistem,31-35,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
434,fenerbahçe kalamış 2+1 yatırımlık daire,2850000,Zühtüpaşa,90.0,21.0,5.0,Giriş Katı,Kombi (Doğalgaz),31-35,Kiracılı,,,Evet,0.0
435,Kızıltoprak Bağdat caddesine 1. paralel komple sıfır bina,34000000,Zühtüpaşa,,,3.0,,Kombi (Doğalgaz),0,Boş,Danışman,,Evet,
436,Kadıköy Ziverbey'de Muhteşem Osmanlı Köşkü,105000000,Zühtüpaşa,1143.0,10.0,4.0,,Soba (Kömür),,Boş,Danışman,Kat Mülkiyeti,Evet,
437,KIZILTOPRAK'TA GENİŞ BALKONLU 3+1 NET:120 m² SATILIK DAİRE!!,5900000,Zühtüpaşa,120.0,31.0,3.0,1,Kombi (Doğalgaz),31-35,Kiracılı,,,Hayır,0.0
438,KIZILTOPRAK BAĞDAT CADDESİ ÜZERİNDE ACİL SATILIK DÜKKAN,6500000,Zühtüpaşa,,,,,,,,,,Evet,0.0
439,KADIKÖY FENERBAHÇE KALAMIŞ MARİNA SATILIK MÜSTAKİL ŞİRKET BİNASI,33000000,Zühtüpaşa,,,4.0,,Kombi (Doğalgaz),31-35,Kiracılı,,Kat Mülkiyeti,Evet,
440,"GENİŞ 2+1, SATILIK Kızıltoprak, Kadıköy",5950000,Zühtüpaşa,100.0,21.0,8.0,6,Kombi (Doğalgaz),1,,,Kat Mülkiyeti,Evet,15000.0
441,Fenerbahçe Marinaya Yakın 3+1 Satılık Daire,13000000,Fenerbahçe,122.0,31.0,9.0,4,Merkezi Sistem (Isı Payı Ölçer),2,Kiracılı,,,Evet,0.0
442,Fenerbahçe Marinay Yakın Site İçerisinde Satılık Teraslı Dubleks,16250000,Fenerbahçe,168.0,31.0,3.0,3,Kombi (Doğalgaz),11-15,Boş,,,Evet,0.0
443,Feneryolu Bağdat Caddesi Üzerinde Otoparklı Binada Satılık,12000000,Fenerbahçe,135.0,,4.0,3,Merkezi Sistem,31-35,Kiracılı,,,Evet,
444,"Yalı Parseli & Dalyan Sahil'de Deniz Manzaralı, 5. Kat 2+1 %",7295000,Fenerbahçe,65.0,21.0,1020.0,5,Kombi (Doğalgaz),4,Boş,,Kat Mülkiyeti,Evet,20000.0
445,Fenerbahçe Wyndham Otel Yakın Balkonlu Katta Tek,11000000,Fenerbahçe,90.0,21.0,1020.0,10,Yerden Isıtma,2,Boş,,,Evet,0.0
446,Kalamış Marina Manzaralı Teraslı Sıfır Dubleks Daire,28000000,Fenerbahçe,237.0,51.0,10.0,10,Merkezi Sistem (Isı Payı Ölçer),4,Boş,,,Evet,0.0
447,Fenerbahçe Çamlık Parkına Yakın 4+1 Satılık Daire,15000000,Fenerbahçe,140.0,41.0,1020.0,13,Merkezi Sistem (Isı Payı Ölçer),3,Kiracılı,,,Evet,0.0
448,Fenerbahçe Kapanmaz Deniz Marina Manzaralı Balkonlu 4+1 Sıfır,24000000,Fenerbahçe,145.0,41.0,8.0,7,Kombi (Doğalgaz),0,Boş,,,Evet,0.0
449,BAĞDAT CADDESİ ÜZERİNDE 65 M2 DÜKKAN,9500000,Fenerbahçe,56.0,1.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
450,BAĞDAT CADDESİ ÜZERİNDE KİRACILI 120 M2 DÜKKAN,17500000,Fenerbahçe,102.0,3.0,4.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
451,BAĞDAT CADDESİ ÜZERİNDE 30 M2 DÜKKAN,8000000,Fenerbahçe,26.0,1.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
452,FENERBAHÇE MARİNA SİTE İÇERİSİNDE DENİZ MANZARALI SATILIK DAİRE,19750000,Fenerbahçe,220.0,41.0,3.0,1,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat İrtifakı,Evet,
453,Fenerbahçe Cemiltopuzlu Caddesi 3+1 Satılık Daire,15500000,Fenerbahçe,120.0,31.0,7.0,6,Kombi (Doğalgaz),6-10,Boş,,,Evet,0.0
454,KALAMIŞ WYNDHAM OTELE YAKIN SIFIR 225M2 TERASLI DENİZ MANZARALI,17950000,Fenerbahçe,175.0,41.0,10.0,10,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,
455,CenkCaddede Fenerbahçe Iğrıp Sokak Fırsat 1+1,5500000,Fenerbahçe,55.0,11.0,3.0,2,Kombi (Doğalgaz),11-15,,,Kat Mülkiyeti,Evet,0.0
456,Fenerbahçe Deniz ve Marina Manzaralı Yatırımlık Satılık Daire,7500000,Fenerbahçe,137.0,31.0,1020.0,13,Merkezi Sistem,31-35,Mülk,,,Hayır,0.0
457,GÖZTEPE BAĞDAT CADDESİNDE SATILIK DAİRE 3+1 İŞYERİ OFİS,8900000,Fenerbahçe,95.0,,4.0,3,Kombi (Doğalgaz),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
458,Fenerbahçe Ayanoğlu Bağdat Cad. Yakın Katta Tek Geniş Balkon,25000000,Fenerbahçe,200.0,41.0,9.0,9,Kombi (Doğalgaz),0,Boş,,,Evet,0.0
459,KALAMIŞTA SATILIK EŞSİZ YALI DAİRESİ,22900000,Fenerbahçe,180.0,41.0,3.0,2,Kombi (Doğalgaz),40,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
460,Fenerbaheçe Kalamış Marinaya Kahve Dünyasına Yakın 3+1,11500000,Fenerbahçe,120.0,31.0,1020.0,6,Merkezi Sistem (Isı Payı Ölçer),6-10,Kiracılı,,,Evet,0.0
461,Fenerbahçe Kahve Dünyası Sütiş Yakın Satılık Daire,9975000,Fenerbahçe,138.0,41.0,7.0,3,Merkezi Sistem,26-30,Kiracılı,,,Evet,0.0
462,Fenerbahçe Starbucks Yakın Ön Kullanımlı Dükkan,5980000,Fenerbahçe,60.0,2.0,7.0,Giriş Katı,Kombi (Doğalgaz),6-10,Kiracılı,,,Evet,0.0
463,KALAMIŞ SAHİLDE SATILIK EMSALSİZ 2 KATLI RESTORAN,59900000,Fenerbahçe,200.0,,,Bahçe katı,Kombi (Doğalgaz),40,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
464,FENERBAHÇE'DE SIFIR 3 BALKONLU 4 BANYOLU 9.KAT 250m2 SATILIK 4+1,25000000,Fenerbahçe,200.0,41.0,9.0,9,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,60000.0
465,Fenerbahçe Sahilde Kapanmaz Deniz ve Adalar Manzaralı 3+1 Daire,17850000,Fenerbahçe,120.0,31.0,1020.0,9,Merkezi Sistem (Isı Payı Ölçer),26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
466,Fenerbahçe Marinada Satılık Daire Havuzlu Güvenlikli Site İçi,26550000,Fenerbahçe,160.0,41.0,4.0,2,Merkezi Sistem (Isı Payı Ölçer),6-10,Boş,Danışman,Kat İrtifakı,Evet,
467,Fenerbahçe Kalamış Marina Lebiderya Manzaralı 4+1,25000000,Fenerbahçe,175.0,41.0,1020.0,7,Merkezi Sistem (Isı Payı Ölçer),4,Kiracılı,,,Evet,0.0
468,SELAMİÇEŞME BAĞDAT CADDESİ ÜZERİNDE 230 M2 OFİS,12000000,Fenerbahçe,,4.0,4.0,1,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
469,Fenerbahçe Yeni Binada 3+2 Dubleks Satılık Daire,18400000,Fenerbahçe,200.0,32.0,8.0,8,Klima,4,Mülk,,,Evet,0.0
470,KALAMIŞ WYNDHAM OTELE YAKIN SIFIR 135M2 2 BALKONLU LÜKS,10800000,Fenerbahçe,105.0,31.0,10.0,1,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,
471,Fenerbahçe Kalamış Wyndham Otel Yakın Yüzme Havuzlu 4+1,11000000,Fenerbahçe,160.0,41.0,1020.0,10,Merkezi Sistem (Isı Payı Ölçer),21-25,Kiracılı,,,Evet,0.0
472,Fenerbahçe Çamlık Parkına Cepheli Katta Tek,15500000,Fenerbahçe,135.0,31.0,1020.0,9,Kombi (Doğalgaz),4,Kiracılı,,,Evet,0.0
473,ALKAYA-KALAMIŞ MARİNA 3+1 GENİŞ MUTFAKLI SATILIK DAİRE,11950000,Fenerbahçe,105.0,31.0,9.0,8,Klima,0,Boş,,,Hayır,0.0
474,BAĞDAT CADDESİNE İKİNCİ BİNADA MERKEZİ KONUMLU 3+1 EŞYASZ SATILK,14300000,Fenerbahçe,145.0,31.0,4.0,4,Merkezi Sistem,16-20,Mülk,,,Evet,0.0
475,FENERBAHÇE'DE SIFIR 125M2 EBEVEYN BANYOLU BALKONLU LÜKS,9650000,Fenerbahçe,95.0,31.0,9.0,7,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,
476,OZZ TEAM' DEN BAĞDAT CADDESİNE CEPHE OFİS KULLANIMINA UYGUN 2+1,3500000,Fenerbahçe,74.0,,4.0,2,Kombi (Doğalgaz),31-35,Kiracılı,,,Evet,0.0
477,FENERYOLU BAĞDAT CADDESİNDE KİRACILI 30 M2 DÜKKAN,3000000,Fenerbahçe,26.0,1.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
478,DALYAN DR.FARUK AYANOĞLU CADDESİ GİRİŞİNDE 15 M2 DÜKKAN,3000000,Fenerbahçe,13.0,1.0,1020.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),3,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
479,FENERYOLU BAĞDAT CADDESİNDE 70 M2 DÜKKAN,6000000,Fenerbahçe,60.0,1.0,4.0,Zemin Kat,Merkezi Sistem,21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,
480,SELAMİÇEŞME BAĞDAT CADDESİ ÜZERİ 160m2 İSKANLI 3.KAT SATILIK 3+1,7000000,Fenerbahçe,140.0,,4.0,3,Kombi (Doğalgaz),40,Mülk,Danışman,Kat Mülkiyeti,Evet,
481,SELAMİÇEŞME IŞIKLAR'DA 3.KAT İSKANLI BALKONLU 160m2 SATILIK 3+1,7000000,Fenerbahçe,,4.0,4.0,3,Kombi (Doğalgaz),40,Mülk,Danışman,Kat Mülkiyeti,Evet,20000.0
482,ALKAYA'DAN FENERBAHÇE DALYAN'DA SATILIK 125 m NET YENİ DAİRE,13950000,Fenerbahçe,125.0,31.0,9.0,5,Kombi (Doğalgaz),4,,,Kat Mülkiyeti,Evet,0.0
483,F.BAHÇE 12 YILLIK GENÇ BİNADA 140M2 BALKONLU ULTRA LÜKS,9500000,Fenerbahçe,110.0,31.0,1020.0,5,Kombi (Doğalgaz),11-15,Boş,Danışman,Kat Mülkiyeti,Evet,
484,Fenerbahçe Wyndham Otel karşısı Katta Tek Balkonlu,8000000,Fenerbahçe,130.0,41.0,6.0,4,Klima,26-30,Mülk,,,Hayır,0.0
485,DALYAN SAHİLDE SIFIR 170M2  BALKONLU ULTRA  LÜKS,13500000,Fenerbahçe,135.0,31.0,1020.0,,Merkezi Sistem (Isı Payı Ölçer),0,Boş,Danışman,Kat Mülkiyeti,Evet,
486,KALAMIŞ SAHİLDE SIFIR 190M2 GÜVENLİKLİ SİTE İÇİNDE 3 BALKONLU,16000000,Fenerbahçe,160.0,31.0,3.0,1,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,
487,Fenerbahçe Ayanoğlu Ordu Evi Caddesi Üzerinde Dükkan,19750000,Fenerbahçe,95.0,2.0,1020.0,Giriş Katı,Kombi (Doğalgaz),3,Kiracılı,,,Evet,0.0
488,ALKAYA-KALAMIŞ MARİNA 3+1 GENİŞ MUTFAKLI SATILIK DAİRE,11950000,Fenerbahçe,105.0,31.0,9.0,8,Kombi (Doğalgaz),0,Boş,,Kat İrtifakı,Evet,0.0
489,Fenerbahçe Deniz - Marina ve Doğa Manzaralı Yüzme Havuzlu,63500000,Fenerbahçe,420.0,42.0,1020.0,13,Merkezi Sistem (Isı Payı Ölçer),0,Boş,,,Hayır,0.0
490,KALAMIŞ SAHİLDE SIFIR 165M2 GÜVENLİKLİ SİTE İÇİNDE BAHÇE DUBLEKS,13500000,Fenerbahçe,140.0,31.0,3.0,Bahçe katı,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,
491,Fenerbahçe Sahilde Katta Tek 4+1 Sıfır Daire EMLAK MASASI,25000000,Fenerbahçe,200.0,41.0,10.0,3,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
492,Fenerbahçe Sahilde Orduevine Yakın Yeni Binada 3+1 Daire,12100000,Fenerbahçe,120.0,31.0,10.0,4,Kombi (Doğalgaz),6-10,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
493,Fenerbahçe Bağdat Caddesine İlk Paralelde 5+2 Dubleks,16000000,Fenerbahçe,210.0,52.0,1020.0,12,Kombi (Doğalgaz),6-10,Mülk,Danışman,Kat Mülkiyeti,Evet,0.0
494,SELAMİÇEŞME BAĞDAT CAD.ÜSTÜNDE 3.KAT İSKANLI 160m2 SATILIK 3+1,7000000,Fenerbahçe,140.0,31.0,4.0,3,Kombi (Doğalgaz),31-35,Mülk,Danışman,Kat Mülkiyeti,Evet,20000.0
495,F.BAHÇE 4 YILLIK 160M2 KATTA TEK BALKONLU LÜKS,13950000,Fenerbahçe,125.0,31.0,1020.0,5,Kombi (Doğalgaz),4,Mülk,Danışman,Kat Mülkiyeti,Evet,
496,Kalamış'ta 3+1 Deniz Manzaralı Satılık Daire,7000000,Fenerbahçe,110.0,31.0,3.0,3,Kombi (Doğalgaz),31-35,Mülk,,,Evet,0.0
497,Fenerbahçe Ordu Evi Dalyan Sahil Kapalı Otoparklı Katta Tek,9200000,Fenerbahçe,110.0,31.0,10.0,7,Merkezi Sistem,21-25,Boş,,,Evet,0.0
498,Fenerbahçe de muhteşem Deniz Manzaralı içi Komple Yenilenmiş,56200000,Fenerbahçe,310.0,42.0,4.0,4,Klima,6-10,Boş,,,Evet,0.0
499,FENERBAHÇE YALI PARSELİ LEBİ DERYA MUHTEŞEM 7+3 SATILIK VİLLA,190000000,Fenerbahçe,720.0,73.0,3.0,Müstakil,Klima,6-10,Mülk,,,Evet,0.0
500,FENERBAHCE YALI PARSELİ LEBİ DERYA MUHTEŞEM 5+2 520 M2,95000000,Fenerbahçe,350.0,52.0,3.0,Çatı Katı,Yerden Isıtma,5,Mülk,,,Evet,
501,Fenerbahçe Kalamış Wyndham Otel Yakın Balkonlu 3+1 Satılık,8800000,Fenerbahçe,100.0,31.0,10.0,4,Kombi (Doğalgaz),6-10,Kiracılı,,,Evet,0.0
502,Fenerbaheç Dalyan Yüzme Havuzlu Lebiderya Manzaralı Dubleks,30000000,Fenerbahçe,220.0,41.0,1020.0,16,Merkezi Sistem (Isı Payı Ölçer),0,Boş,,,Hayır,0.0
503,KALAMIŞ CADDE ÜZERİ 105M2 BALKONLU KOMBİLİ ASANSÖR OTOPARKLI LUX,6295000,Fenerbahçe,80.0,21.0,3.0,2,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,
504,Kalamış Deniz ve Marina Manzaralı Teraslı Sıfır Dubleks,16000000,Fenerbahçe,200.0,52.0,9.0,9,Kombi (Doğalgaz),3,Boş,,,Evet,0.0
505,FENER KALAMIŞ CADDESİ ÜZERİNDE KİRACILI 300 M2 MAĞAZA,25000000,Fenerbahçe,255.0,2.0,5.0,Zemin Kat,Merkezi Sistem,16-20,Kiracılı,Danışman,,Evet,
506,ANA CADDE ÜZERİNDE BANKA KİRACILI 420 M2 DÜKKAN,25000000,Fenerbahçe,357.0,2.0,7.0,Zemin Kat,Kombi (Doğalgaz),11-15,Kiracılı,Danışman,,Evet,
507,SELAMİÇEŞME BAĞDAT CADDESİ ÜZERİNDE 35 M2 DÜKKAN,7500000,Fenerbahçe,30.0,,4.0,,Merkezi Sistem,21-25,Kiracılı,Danışman,,Evet,
508,FENERBAHÇE DOKTOR FARUK AYANOĞLU CADDESİ ÜZERİNDE 40 M2 DÜKKAN,4000000,Fenerbahçe,34.0,1.0,1020.0,Zemin Kat,Merkezi Sistem (Isı Payı Ölçer),2,Kiracılı,Danışman,,Evet,
509,FENERYOLU BAĞDAT CADDESİ ÜZERİNDE 220 M2 DÜKKAN,17500000,Fenerbahçe,187.0,4.0,4.0,Zemin Kat,Klima,26-30,Kiracılı,Danışman,,Evet,
510,Kalamışta Kapanmaz Marina ve Deniz Manzaralı 3+1 Sıfır Daire,30000000,Fenerbahçe,145.0,31.0,1020.0,12,Merkezi Sistem (Isı Payı Ölçer),0,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
511,Fenerbahçede Bağdat Caddesine 2.Binada 3+1 Balkonlu Sıfır Daire,9650000,Fenerbahçe,95.0,31.0,9.0,7,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
512,Fener Kalmış Caddesi Üzerinde işyerine Uygun  2+1 Lüks Daire,6295000,Fenerbahçe,85.0,21.0,3.0,2,Kombi (Doğalgaz),31-35,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
513,Çiftehavuzlar Sahilde Deprem Yönetmelikli Binada 4+1 Daire,13950000,Fenerbahçe,170.0,41.0,1020.0,10,Kombi (Doğalgaz),21-25,Kiracılı,Danışman,Kat Mülkiyeti,Evet,0.0
514,Fenerbahçe Cemil Topuzlu Üzerinde  Yeni Binada 4+1 Daire,14500000,Fenerbahçe,145.0,41.0,7.0,3,Kombi (Doğalgaz),5,,,Kat Mülkiyeti,Evet,0.0
515,Fenerbahçe Sahil Tarafında Yeni Binada 3+1 Balkonlu Daire,9500000,Fenerbahçe,110.0,31.0,1020.0,5,Kombi (Doğalgaz),11-15,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
516,Fenerbahçe Sahilde Yeni Binada Katta Tek 3+1 Balkonlu Daire,13950000,Fenerbahçe,125.0,31.0,9.0,5,Kombi (Doğalgaz),5,,,Kat Mülkiyeti,Evet,0.0
517,Fenerbahçe Cemil Topuzlu Caddesinde Yeni Binada 3+1 Daire,11950000,Fenerbahçe,110.0,31.0,8.0,4,Kombi (Doğalgaz),11-15,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
518,ÇİFTEHAVUZLAR BAĞDAT CADDESİ ÜZERİNDE 330 M2 DÜKKAN,40000000,Fenerbahçe,281.0,2.0,4.0,Zemin Kat,Merkezi Sistem,26-30,Kiracılı,Danışman,,Evet,0.0
519,FENER KALAMIŞ CADDESİ BÜYÜK FENERBAHÇE AP.DENİZ MANZARALI DAİRE,15750000,Fenerbahçe,121.0,31.0,1020.0,8,Klima,26-30,Kiracılı,Danışman,Kat Mülkiyeti,Evet,30000.0
520,WEN CADDEDEN FENERBAHÇEDE 2 BALKONLU SIFIR YENİ BİNA SATILIK 3+1,7550000,Fenerbahçe,110.0,31.0,1020.0,8,Klima,0,Boş,Danışman,Kat İrtifakı,Evet,0.0
521,Fenerbahçe Dalyanda Deniz Manzaralı 3+1 Daire EMLAK MASASI,11500000,Fenerbahçe,110.0,31.0,8.0,4,Kombi (Doğalgaz),16-20,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
522,Çiftehavuzlar Sahilde  3+1 Sıfır Balkonlu  Daire EMLAK MASASI,13500000,Fenerbahçe,130.0,31.0,1020.0,2,Kombi (Doğalgaz),0,Boş,Danışman,Kat Mülkiyeti,Evet,0.0
523,KW SİNAN'DAN KALAMIŞ SAHİL PARSELİNDE MANZARALI SATILIK DAİRE,21000000,Fenerbahçe,277.0,61.0,3.0,3,Kombi (Doğalgaz),26-30,Mülk,,,Evet,
524,Çiftehavuzlar 18 Mart'a Yakın 3+1 Yeni Binada Satılık Daire,8800000,Fenerbahçe,105.0,31.0,1020.0,2,Merkezi Sistem (Isı Payı Ölçer),3,Boş,,,Evet,0.0
525,Fenerbahçe'de Sütişe Kahve Dünyasına Yakın Teraslı Dubleks,14000000,Fenerbahçe,190.0,51.0,8.0,8,Kombi (Doğalgaz),4,Mülk,,,Evet,0.0
